agglutinate	9	0	0	0	4.0	0.02	14.89
aggrandize	8	0	0	0	3.0	0.02	14.83
aggrandizement	12	0	0	0	5.0	0.02	14.75
aggravate	7	0	0	0	3.0	0.73	8.32
aggravated	0	0	0	0	4.0	1.25	8.61
aggravation	9	0	0	0	4.0	1.16	9.11
aggregate	7	0	0	0	3.0	0.20	13.67
aggregation	9	0	0	0	4.0	0.04	14.56
aggress	5	351	271	270	2.0	0.04	12.13
aggression	7	0	0	0	3.0	2.80	9.30
aggressive	7	500	0	417	3.0	7.94	8.32
aggressiveness	0	0	0	0	5.0	0.39	11.06
aggressor	6	359	439	383	3.0	0.57	11.47
aggrieved	0	0	0	0	3.0	0.20	12.38
aghast	5	0	0	0	2.0	0.14	12.00
agile	4	432	356	454	3.0	0.39	11.94
agility	7	397	327	464	4.0	0.45	10.06
aging	0	0	0	0	2.0	2.57	7.35
agitate	6	0	0	0	3.0	0.43	10.17
agitated	0	0	0	0	4.0	2.51	10.12
agitation	8	0	0	0	4.0	0.49	11.50
agitator	7	0	0	0	4.0	0.22	11.84
agleam	0	0	0	0	2.0	0.01	14.71
aglitter	0	0	0	0	3.0	0.01	13.67
aglow	4	0	0	0	2.0	0.47	10.06
agnate	5	0	0	0	2.0	0.10	16.50
agnostic	0	0	0	0	3.0	0.37	13.80
ago	3	0	0	0	2.0	286.12	7.12
agog	4	0	0	0	2.0	0.12	14.73
agonize	6	0	0	0	3.0	0.10	11.58
agonizing	0	0	0	0	4.0	0.71	10.89
agony	5	509	348	491	3.0	3.75	9.22
agora	5	0	0	0	3.0	0.02	13.73
agoraphobia	0	0	0	0	5.0	0.14	14.44
agrarian	8	0	0	0	3.0	0.16	14.83
agree	4	0	0	0	1.0	64.67	7.68
agreeable	6	0	0	0	3.0	1.59	8.41
agreement	8	541	327	367	3.0	17.49	8.16
agricultural	13	0	0	0	5.0	0.94	10.11
agriculturalist	16	0	0	0	5.0	0.04	12.78
agriculture	10	0	0	0	4.0	1.10	10.32
ague	4	196	365	224	1.0	0.04	15.20
ahead	4	0	0	0	2.0	198.33	5.45
ahoy	3	0	0	0	2.0	3.71	7.61
aid	2	536	372	413	1.0	13.90	7.33
aide	0	0	0	0	1.0	2.02	7.83
aider	3	0	0	0	2.0	0.02	12.92
aids	0	0	0	0	1.0	1.06	8.89
aigrette	5	0	0	0	2.0	0.01	15.00
ail	2	370	385	391	1.0	0.22	9.71
aileron	6	0	0	0	3.0	0.02	14.71
ailing	0	0	0	0	2.0	0.51	10.63
ailment	6	0	0	0	2.0	0.51	10.37
aim	2	549	324	383	1.0	14.86	6.72
aimless	0	0	0	0	2.0	0.27	10.32
air	1	608	518	450	1.0	139.02	3.94
airborne	4	0	0	0	2.0	4.22	9.85
aircraft	6	0	0	0	2.0	9.45	7.61
aircrew	0	0	0	0	2.0	0.06	10.15
airdrome	5	0	0	0	2.0	0.04	15.11
airfield	5	0	0	0	2.0	2.31	8.60
airflow	0	0	0	0	2.0	0.14	12.42
airless	0	0	0	0	2.0	0.10	10.00
airline	0	0	0	0	2.0	6.49	8.74
airliner	0	0	0	0	3.0	0.57	9.89
airmail	0	0	0	0	2.0	0.33	12.00
airman	4	0	0	0	2.0	0.59	10.58
airplane	0	0	0	0	2.0	10.92	3.94
airport	4	0	0	0	2.0	38.04	6.84
airship	4	332	585	545	2.0	0.59	10.80
airstrip	0	0	0	0	2.0	1.12	8.16
airtight	5	0	0	0	2.0	1.12	9.84
airway	3	0	0	0	2.0	1.63	11.16
airworthy	5	0	0	0	3.0	0.02	13.31
